iter	Passed	Remaining
0	11	11652
1	24	12452
2	28	9548
3	32	8045
4	38	7671
5	45	7530
6	47	6736
7	51	6398
8	58	6464
9	61	6129
10	68	6150
11	76	6259
12	79	6056
13	83	5898
14	91	6007
15	97	6023
16	107	6191
17	114	6237
18	120	6224
19	126	6208
20	131	6109
21	135	6007
22	140	5957
23	146	5950
24	155	6049
25	161	6057
26	168	6064
27	175	6107
28	181	6071
29	187	6076
30	195	6100
31	203	6156
32	205	6035
33	208	5932
34	215	5955
35	223	5985
36	230	5990
37	237	6022
38	244	6020
39	247	5932
40	255	5983
41	258	5896
42	265	5912
43	272	5912
44	278	5901
45	285	5920
46	292	5937
47	298	5929
48	306	5949
49	309	5880
50	315	5875
51	322	5884
52	325	5823
53	332	5820
54	334	5739
55	341	5755
56	348	5759
57	354	5759
58	357	5698
59	359	5636
60	362	5574
61	368	5579
62	375	5588
63	381	5583
64	387	5580
65	394	5587
66	401	5590
67	408	5599
68	410	5538
69	412	5484
70	419	5493
71	426	5499
72	434	5513
73	437	5478
74	441	5449
75	450	5477
76	453	5440
77	460	5449
78	468	5466
79	475	5466
80	477	5416
81	484	5419
82	486	5376
83	493	5378
84	499	5380
85	504	5357
86	510	5357
87	519	5384
88	526	5392
89	533	5393
90	540	5396
91	543	5364
92	551	5373
93	558	5379
94	565	5390
95	573	5399
96	576	5370
97	581	5355
98	589	5365
99	596	5372
100	599	5338
101	605	5333
102	609	5304
103	615	5300
104	622	5303
105	629	5307
106	632	5281
107	636	5254
108	642	5254
109	651	5270
110	657	5264
111	666	5281
112	672	5282
113	680	5292
114	687	5293
115	690	5264
116	694	5242
117	701	5247
118	708	5242
119	716	5252
120	723	5254
121	730	5254
122	736	5251
123	743	5252
124	749	5249
125	756	5246
126	763	5245
127	765	5212
128	768	5188
129	772	5170
130	779	5170
131	786	5172
132	794	5176
133	801	5177
134	808	5183
135	816	5187
136	823	5185
137	826	5162
138	830	5143
139	838	5148
140	840	5122
141	848	5127
142	856	5134
143	864	5139
144	870	5134
145	877	5129
146	881	5117
147	885	5095
148	890	5084
149	892	5057
150	901	5067
151	903	5043
152	910	5042
153	914	5022
154	917	5002
155	924	4999
156	931	5002
157	934	4979
158	941	4978
159	948	4980
160	956	4982
161	960	4966
162	967	4969
163	974	4970
164	983	4976
165	988	4964
166	1003	5007
167	1011	5011
168	1019	5012
169	1023	4999
170	1031	5002
171	1039	5002
172	1043	4988
173	1051	4989
174	1057	4986
175	1064	4983
176	1070	4979
177	1080	4989
178	1088	4990
179	1096	4992
180	1103	4993
181	1112	5000
182	1119	4997
183	1126	4996
184	1130	4979
185	1137	4977
186	1143	4973
187	1153	4981
188	1157	4966
189	1161	4950
190	1168	4947
191	1171	4930
192	1173	4908
193	1180	4905
194	1187	4902
195	1194	4898
196	1201	4897
197	1209	4898
198	1217	4899
199	1223	4895
200	1230	4892
201	1237	4888
202	1245	4891
203	1254	4894
204	1264	4902
205	1272	4905
206	1280	4904
207	1287	4902
208	1295	4904
209	1303	4902
210	1312	4908
211	1316	4893
212	1324	4894
213	1327	4875
214	1334	4873
215	1343	4875
216	1351	4875
217	1359	4878
218	1368	4879
219	1376	4879
220	1384	4880
221	1391	4877
222	1395	4862
223	1402	4858
224	1404	4838
225	1412	4836
226	1416	4823
227	1419	4806
228	1430	4817
229	1438	4816
230	1447	4817
231	1452	4808
232	1459	4804
233	1468	4806
234	1477	4808
235	1484	4804
236	1492	4806
237	1495	4789
238	1503	4785
239	1513	4793
240	1523	4796
241	1527	4783
242	1534	4781
243	1542	4780
244	1547	4770
245	1550	4751
246	1556	4746
247	1564	4744
248	1570	4735
249	1579	4738
250	1583	4725
251	1585	4707
252	1594	4707
253	1601	4702
254	1608	4699
255	1615	4696
256	1624	4696
257	1630	4687
258	1638	4687
259	1645	4683
260	1652	4679
261	1660	4677
262	1667	4672
263	1675	4671
264	1684	4671
265	1691	4668
266	1694	4652
267	1696	4633
268	1703	4629
269	1711	4628
270	1719	4626
271	1727	4623
272	1731	4609
273	1737	4603
274	1740	4587
275	1743	4572
276	1750	4567
277	1751	4550
278	1758	4545
279	1760	4526
280	1768	4524
281	1775	4520
282	1777	4502
283	1785	4500
284	1787	4485
285	1789	4468
286	1797	4466
287	1807	4469
288	1811	4455
289	1813	4439
290	1820	4434
291	1824	4423
292	1831	4419
293	1838	4416
294	1847	4414
295	1850	4402
296	1859	4401
297	1863	4388
298	1870	4385
299	1873	4372
300	1880	4366
301	1888	4364
302	1892	4352
303	1895	4339
304	1902	4335
305	1910	4332
306	1917	4328
307	1924	4324
308	1927	4310
309	1935	4308
310	1942	4304
311	1951	4302
312	1959	4301
313	1960	4283
314	1968	4280
315	1975	4276
316	1983	4274
317	1993	4275
318	2001	4273
319	2009	4270
320	2011	4253
321	2014	4242
322	2022	4240
323	2027	4231
324	2035	4227
325	2042	4222
326	2043	4205
327	2045	4190
328	2053	4187
329	2056	4176
330	2062	4167
331	2070	4165
332	2072	4151
333	2079	4147
334	2083	4136
335	2092	4134
336	2100	4132
337	2109	4130
338	2116	4126
339	2122	4120
340	2126	4110
341	2133	4104
342	2140	4100
343	2142	4086
344	2150	4083
345	2152	4068
346	2160	4065
347	2168	4063
348	2177	4061
349	2185	4058
350	2191	4052
351	2199	4049
352	2206	4045
353	2215	4042
354	2224	4040
355	2227	4029
356	2234	4023
357	2241	4020
358	2249	4016
359	2253	4006
360	2259	3999
361	2262	3987
362	2270	3983
363	2276	3978
364	2283	3973
365	2290	3968
366	2293	3955
367	2302	3954
368	2305	3943
369	2308	3930
370	2315	3925
371	2322	3921
372	2330	3917
373	2337	3911
374	2339	3898
375	2347	3895
376	2350	3883
377	2358	3881
378	2361	3868
379	2366	3861
380	2373	3855
381	2380	3851
382	2385	3843
383	2393	3839
384	2401	3836
385	2408	3831
386	2410	3818
387	2413	3807
388	2414	3793
389	2421	3788
390	2424	3776
391	2431	3771
392	2439	3768
393	2443	3757
394	2447	3749
395	2455	3744
396	2462	3739
397	2465	3728
398	2466	3714
399	2473	3710
400	2482	3707
401	2490	3704
402	2497	3700
403	2502	3692
404	2510	3688
405	2513	3677
406	2521	3673
407	2528	3669
408	2536	3664
409	2544	3661
410	2552	3657
411	2559	3653
412	2568	3650
413	2576	3646
414	2583	3642
415	2590	3636
416	2599	3633
417	2602	3624
418	2608	3616
419	2615	3612
420	2623	3608
421	2627	3598
422	2635	3595
423	2642	3590
424	2646	3580
425	2648	3568
426	2656	3564
427	2658	3552
428	2666	3549
429	2670	3539
430	2678	3535
431	2686	3531
432	2694	3528
433	2697	3518
434	2705	3513
435	2709	3504
436	2716	3500
437	2718	3488
438	2725	3482
439	2734	3480
440	2742	3476
441	2751	3473
442	2757	3467
443	2760	3456
444	2763	3446
445	2771	3442
446	2772	3430
447	2780	3425
448	2788	3422
449	2797	3418
450	2801	3410
451	2808	3405
452	2817	3401
453	2826	3399
454	2833	3394
455	2841	3389
456	2848	3384
457	2849	3372
458	2852	3362
459	2860	3357
460	2868	3354
461	2871	3344
462	2873	3332
463	2881	3328
464	2886	3320
465	2890	3312
466	2899	3309
467	2907	3305
468	2915	3301
469	2924	3297
470	2933	3294
471	2940	3289
472	2941	3277
473	2950	3274
474	2952	3262
475	2959	3257
476	2967	3253
477	2974	3248
478	2978	3239
479	2986	3234
480	2994	3230
481	3001	3226
482	3010	3222
483	3012	3212
484	3019	3206
485	3022	3196
486	3027	3188
487	3034	3184
488	3043	3180
489	3047	3172
490	3050	3161
491	3053	3152
492	3062	3149
493	3068	3142
494	3076	3138
495	3078	3127
496	3085	3123
497	3087	3111
498	3089	3102
499	3091	3091
500	3100	3088
501	3108	3083
502	3115	3078
503	3123	3073
504	3131	3069
505	3133	3058
506	3140	3053
507	3148	3049
508	3151	3040
509	3159	3035
510	3166	3030
511	3168	3019
512	3176	3015
513	3180	3007
514	3185	3000
515	3194	2996
516	3198	2987
517	3207	2984
518	3215	2980
519	3217	2969
